Al	Ba	Ca	Fe	ID	K	Mg	Na	Number of Records	RI	Si	Type
1,58	0	12,24	0	171	0,32	0	13,44	1	1,52369	72,22	Container
1,4	0	12,5	0	174	0,33	0	13,38	1	1,52043	72,25	Container
1,65	0	11,53	0	168	0,38	0	12,64	1	1,51969	73,75	Container
1,76	0	11,32	0	170	0,47	0	13,27	1	1,51994	73,03	Container
1,56	0	11,41	0	166	0,47	1,88	11,56	1	1,52171	72,86	Container
1,23	0	8,83	0	188	0,6	3,34	13,44	1	1,52315	72,38	Headlamp
2,06	0	9,76	0	189	0,76	2,2	14,86	1	1,52247	70,26	Headlamp
1,19	0	8,93	0	202	2,7	0	11,95	1	1,51653	75,18	Headlamp
2,54	0	9,41	0,01	197	0,14	0	13,87	1	1,51556	73,23	Headlamp
2,68	0	9,07	0,05	196	0,08	0	14,14	1	1,51545	73,39	Headlamp
2,38	0	8,76	0,09	192	0	0	14,85	1	1,51602	73,28	Headlamp
2,79	0	9,04	0,09	193	0,04	0	14,2	1	1,51623	73,46	Headlamp
1,74	0	9,95	0	182	0	0,78	14,99	1	1,51888	72,5	Tableware
1,54	0	7,59	0	181	0	1,74	14,4	1	1,51299	74,55	Tableware
1,66	0	9,32	0	180	0	2,19	14,09	1	1,51852	72,67	Tableware
1,62	0	9,26	0	179	0	2,24	14,46	1	1,51829	72,38	Tableware
1,56	0	9,57	0	177	0	2,39	14	1	1,51905	72,37	Tableware
1,19	0	9,77	0	178	0	2,41	13,79	1	1,51937	72,76	Tableware
0,78	0	9,69	0	64	0	3,81	14,17	1	1,52227	71,35	Window, Float Processed
0,83	0	9,49	0	152	0	3,9	14,32	1	1,52127	71,5	Window, Float Processed
0,29	0	9	0	22	0,03	3,75	14,77	1	1,51966	72,02	Window, Float Processed
0,65	0	8,93	0	153	0,06	3,65	13,64	1	1,51779	73	Window, Float Processed
1,18	0	8,89	0	19	0,06	3,73	13,9	1	1,51911	72,12	Window, Float Processed
1,1	0	8,75	0	1	0,06	4,49	13,64	1	1,52101	71,78	Window, Float Processed
1,12	0	9,4	0	66	0,09	3,59	13,69	1	1,52099	71,96	Window, Float Processed
1,15	0	8,43	0	25	0,5	3,5	13,38	1	1,5172	72,85	Window, Float Processed
1,26	0	8,58	0	156	0,52	3,4	13,04	1	1,51646	73,01	Window, Float Processed
1,28	0	9,07	0	54	0,55	2,84	13,14	1	1,51837	72,85	Window, Float Processed
1,19	0	9,03	0	53	0,55	2,87	13,43	1	1,51808	72,84	Window, Float Processed
1,35	0	9	0	46	0,55	3,48	13,49	1	1,519	71,95	Window, Float Processed
1,24	0	8,07	0	5	0,55	3,62	13,27	1	1,51742	73,08	Window, Float Processed
1,54	0	8,99	0	161	0,56	3,34	13,33	1	1,51832	72,14	Window, Float Processed
1,21	0	8,57	0	36	0,56	3,45	13,29	1	1,51567	72,74	Window, Float Processed
1,33	0	8,43	0	28	0,56	3,48	12,87	1	1,51721	73,04	Window, Float Processed
1,16	0	8,7	0	17	0,61	3,67	12,68	1	1,51784	73,11	Window, Float Processed
1,35	0	8,59	0	24	0,62	3,57	12,81	1	1,51751	73,02	Window, Float Processed
1,35	0	8,68	0	38	0,64	3,48	12,74	1	1,51797	72,96	Window, Float Processed
1,12	0	8,77	0	41	0,64	3,5	12,79	1	1,51793	73,03	Window, Float Processed
1,21	0	8,53	0	26	0,65	3,54	12,98	1	1,51764	73	Window, Float Processed
0,82	0	10,17	0,03	70	0,12	3,58	13,31	1	1,523	71,99	Window, Float Processed
1,38	0	8,55	0,06	34	0,6	3,47	12,57	1	1,51753	73,39	Window, Float Processed
