@relation 'Glass Data3-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R8'

@attribute ﻿Al numeric
@attribute Ba numeric
@attribute Ca numeric
@attribute Fe numeric
@attribute K numeric
@attribute Mg numeric
@attribute Na numeric
@attribute RI numeric
@attribute Si numeric
@attribute Type {Container,Headlamp,Tableware,'Window. Float Processed','Window. Non-float Processed'}

@data
1.58,0,12.24,0,0.32,0,13.44,1.52369,72.22,Container
1.4,0,12.5,0,0.33,0,13.38,1.52043,72.25,Container
1.65,0,11.53,0,0.38,0,12.64,1.51969,73.75,Container
1.76,0,11.32,0,0.47,0,13.27,1.51994,73.03,Container
1.56,0,11.41,0,0.47,1.88,11.56,1.52171,72.86,Container
1.56,0,11.62,0,0.58,1.71,11.03,1.52151,73.44,Container
1.86,0,10.09,0,0.6,1.85,12.73,1.51915,72.69,Container
1.83,0,10.17,0,0.97,0,12.86,1.51666,73.88,Container
3.02,0,6.93,0,6.21,0,13,1.51321,70.7,Container
3.04,0,6.96,0,6.21,0,13.02,1.51316,70.48,Container
1.51,0,11.27,0.28,0.13,0.33,12.97,1.52119,73.39,Container
2.17,0,9.7,0.51,0.76,1.61,12.85,1.52058,72.18,Container
2.25,0,8.34,0,0,0,15.15,1.51508,73.5,Headlamp
2.27,0,8.71,0,0,0,14.95,1.51617,73.3,Headlamp
2.34,0,8.95,0,0,0,14.7,1.51727,73.28,Headlamp
2.42,0,8.39,0,0,0,14.85,1.51514,73.72,Headlamp
2.74,0,9.45,0,0,0,14.37,1.5164,72.85,Headlamp
1.79,0,8.67,0,0,1.78,13.88,1.51613,73.1,Headlamp
2.66,0,9.08,0,0.04,0,14.38,1.51531,73.1,Headlamp
2.51,0,8.83,0,0.05,0,15.01,1.51609,73.05,Headlamp
1.23,0,8.83,0,0.6,3.34,13.44,1.52315,72.38,Headlamp
2.06,0,9.76,0,0.76,2.2,14.86,1.52247,70.26,Headlamp
1.19,0,8.93,0,2.7,0,11.95,1.51653,75.18,Headlamp
2.54,0,9.41,0.01,0.14,0,13.87,1.51556,73.23,Headlamp
2.68,0,9.07,0.05,0.08,0,14.14,1.51545,73.39,Headlamp
2.38,0,8.76,0.09,0,0,14.85,1.51602,73.28,Headlamp
2.79,0,9.04,0.09,0.04,0,14.2,1.51623,73.46,Headlamp
0.34,0,6.65,0,0,0,17.38,1.51115,75.41,Tableware
0.56,0,11.22,0,0,0,14.56,1.51969,73.48,Tableware
2.09,0,10.88,0,0,0,14.15,1.51916,72.74,Tableware
1.74,0,9.95,0,0,0.78,14.99,1.51888,72.5,Tableware
1.54,0,7.59,0,0,1.74,14.4,1.51299,74.55,Tableware
1.66,0,9.32,0,0,2.19,14.09,1.51852,72.67,Tableware
1.62,0,9.26,0,0,2.24,14.46,1.51829,72.38,Tableware
1.56,0,9.57,0,0,2.39,14,1.51905,72.37,Tableware
1.19,0,9.77,0,0,2.41,13.79,1.51937,72.76,Tableware
0.78,0,9.69,0,0,3.81,14.17,1.52227,71.35,'Window. Float Processed'
0.83,0,9.49,0,0,3.9,14.32,1.52127,71.5,'Window. Float Processed'
0.29,0,9,0,0.03,3.75,14.77,1.51966,72.02,'Window. Float Processed'
0.65,0,8.93,0,0.06,3.65,13.64,1.51779,73,'Window. Float Processed'
1.18,0,8.89,0,0.06,3.73,13.9,1.51911,72.12,'Window. Float Processed'
1.1,0,8.75,0,0.06,4.49,13.64,1.52101,71.78,'Window. Float Processed'
1.12,0,9.4,0,0.09,3.59,13.69,1.52099,71.96,'Window. Float Processed'
1.11,0,8.6,0,0.11,3.66,13.65,1.51769,72.77,'Window. Float Processed'
0.58,0,9.65,0,0.11,3.76,14.03,1.52121,71.79,'Window. Float Processed'
0.47,0,9.57,0,0.11,3.82,14.21,1.52213,71.77,'Window. Float Processed'
0.47,0,9.57,0,0.11,3.82,14.21,1.52213,71.77,'Window. Float Processed'
1.32,0,8.67,0,0.12,3.58,13.81,1.51977,71.72,'Window. Float Processed'
0.79,0,10.02,0,0.13,3.77,13.21,1.52223,71.99,'Window. Float Processed'
1.11,0,8.76,0,0.14,3.62,13.6,1.51905,72.64,'Window. Float Processed'
0.89,0,9.15,0,0.15,3.85,14.36,1.52196,71.36,'Window. Float Processed'
0.72,0,9.74,0,0.17,3.84,13.73,1.5221,71.76,'Window. Float Processed'
1.54,0,7.78,0,0.39,3.55,13.53,1.51618,72.99,'Window. Float Processed'
1.36,0,7.83,0,0.48,3.6,13.89,1.51761,72.73,'Window. Float Processed'
1.15,0,8.43,0,0.5,3.5,13.38,1.5172,72.85,'Window. Float Processed'
1.32,0,8.78,0,0.51,3.53,13.89,1.51909,71.81,'Window. Float Processed'
1.28,0,8.65,0,0.52,3.39,13.41,1.51655,72.64,'Window. Float Processed'
1.26,0,8.58,0,0.52,3.4,13.04,1.51646,73.01,'Window. Float Processed'
1.28,0,9.07,0,0.55,2.84,13.14,1.51837,72.85,'Window. Float Processed'
1.19,0,9.03,0,0.55,2.87,13.43,1.51808,72.84,'Window. Float Processed'
1.35,0,9,0,0.55,3.48,13.49,1.519,71.95,'Window. Float Processed'
1.24,0,8.07,0,0.55,3.62,13.27,1.51742,73.08,'Window. Float Processed'
1.54,0,8.99,0,0.56,3.34,13.33,1.51832,72.14,'Window. Float Processed'
1.21,0,8.57,0,0.56,3.45,13.29,1.51567,72.74,'Window. Float Processed'
1.33,0,8.43,0,0.56,3.48,12.87,1.51721,73.04,'Window. Float Processed'
1.14,0,8.55,0,0.56,3.5,12.84,1.51747,73.27,'Window. Float Processed'
1.34,0,8.33,0,0.56,3.53,13.33,1.5161,72.67,'Window. Float Processed'
