@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute 'czas rozmowy' numeric
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute 'data rozmowy' date yyyy-MM-dd
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute 'przedzial_czas rozmowy' {'\'(-inf-30.666667]\'','\'(30.666667-60.333333]\'','\'(60.333333-90]\'','\'(90-119.666667]\'','\'(119.666667-149.333333]\'','\'(149.333333-inf)\''}
@attribute 'przedzial_czas rozmowy_supervised' {'\'All\''}
@attribute 'kwota zakupu' numeric
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
6,129,P03,2013-09-19,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'',64,'\'(54.166667-88.333333]\''
12,150,P03,2013-10-07,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'',128,'\'(122.5-156.666667]\''
12,140,P02,2013-10-04,Wroc³aw,Zachód,10,'\'(119.666667-149.333333]\'','\'All\'',172,'\'(156.666667-190.833333]\''
9,175,P05,2013-10-20,£ódŸ,Centrum,10,'\'(149.333333-inf)\'','\'All\'',122,'\'(88.333333-122.5]\''
3,11,P01,2013-08-28,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',195,'\'(190.833333-inf)\''
7,69,P04,2013-09-07,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'',154,'\'(122.5-156.666667]\''
7,101,P02,2013-10-05,Wroc³aw,Zachód,10,'\'(90-119.666667]\'','\'All\'',183,'\'(156.666667-190.833333]\''
11,135,P04,2013-10-25,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'',159,'\'(156.666667-190.833333]\''
9,171,P05,2013-08-26,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'',69,'\'(54.166667-88.333333]\''
2,97,P01,2013-08-14,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',205,'\'(190.833333-inf)\''
5,134,P05,2013-09-25,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',164,'\'(156.666667-190.833333]\''
5,2,P02,2013-08-29,Wroc³aw,Zachód,8,'\'(-inf-30.666667]\'','\'All\'',64,'\'(54.166667-88.333333]\''
11,39,P01,2013-08-04,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',47,'\'(-inf-54.166667]\''
11,150,P04,2013-10-13,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'',135,'\'(122.5-156.666667]\''
11,104,P03,2013-09-06,Rzeszów,Po³udnie,9,'\'(90-119.666667]\'','\'All\'',118,'\'(88.333333-122.5]\''
10,144,P03,2013-09-05,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'',147,'\'(122.5-156.666667]\''
9,108,P02,2013-08-19,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'',209,'\'(190.833333-inf)\''
1,129,P05,2013-08-09,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',50,'\'(-inf-54.166667]\''
8,31,P04,2013-09-14,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'',141,'\'(122.5-156.666667]\''
