@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9-weka.filters.unsupervised.attribute.Copy-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceDzienTygodnia-R12-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-FEEE-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-F\"EEE\"-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.Reorder-R1-9,12,10-11-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute 'czas rozmowy' numeric
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
1,121,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
4,134,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
9,156,P04,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
11,106,P04,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
6,51,P02,Wroc³aw,Zachód,10,'\'(190.833333-inf)\''
3,78,P04,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
10,115,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
6,45,P04,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
4,14,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
15,64,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
5,141,P01,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
7,94,P01,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
3,83,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
10,100,P03,Rzeszów,Po³udnie,10,'\'(156.666667-190.833333]\''
8,107,P04,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
4,11,P03,Rzeszów,Po³udnie,9,'\'(122.5-156.666667]\''
13,131,P05,£ódŸ,Centrum,9,'\'(88.333333-122.5]\''
7,141,P03,Rzeszów,Po³udnie,9,'\'(156.666667-190.833333]\''
13,168,P01,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
8,61,P01,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
5,67,P03,Rzeszów,Po³udnie,8,'\'(190.833333-inf)\''
10,84,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
5,83,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
11,115,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
3,35,P01,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
7,27,P04,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
12,58,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
5,13,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
10,21,P03,Rzeszów,Po³udnie,8,'\'(-inf-54.166667]\''
3,141,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
6,59,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
14,112,P04,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
4,33,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
4,95,P01,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
3,38,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
4,94,P01,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
14,93,P04,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
4,38,P05,£ódŸ,Centrum,9,'\'(122.5-156.666667]\''
15,97,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
1,86,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
13,79,P05,£ódŸ,Centrum,10,'\'(190.833333-inf)\''
8,38,P04,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
6,111,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
10,39,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
8,166,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
10,30,P01,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
7,68,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
3,36,P03,Rzeszów,Po³udnie,8,'\'(88.333333-122.5]\''
8,107,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
4,169,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
14,79,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
3,108,P01,Warszawa,Centrum,9,'\'(88.333333-122.5]\''
6,93,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
6,129,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
4,80,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
10,92,P01,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
7,134,P03,Rzeszów,Po³udnie,8,'\'(156.666667-190.833333]\''
2,57,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
7,165,P02,Wroc³aw,Zachód,10,'\'(190.833333-inf)\''
7,15,P03,Rzeszów,Po³udnie,9,'\'(88.333333-122.5]\''
11,146,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
3,92,P03,Rzeszów,Po³udnie,8,'\'(-inf-54.166667]\''
5,139,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
5,96,P04,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
11,127,P01,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
2,69,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
15,149,P03,Rzeszów,Po³udnie,10,'\'(190.833333-inf)\''
3,126,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
