@relation '228884_klienci6newwynik-weka.filters.unsupervised.attribute.Remove-R9,11-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzialkwotowy-R9'

@attribute numerklienta numeric
@attribute miesiac numeric
@attribute dzientygodnia {poniedzialek,wtorek,sroda,czwartek,piatek,sobota,niedziela}
@attribute przedzialczasrozmowy {41-60,21-40,81-100,121-140,141-160,1-20,61-80,101-120,161-180}
@attribute przedstawiciel {P05,P04,P02,P01,P03}
@attribute region {Centrum,Zachod,Poludnie}
@attribute oddzial {Lodz,Warszawa,Wroclaw,Rzeszow}
@attribute plec {K,M}
@attribute przedzialkwotowy {150-250,50-150}

@data
2,8,poniedzialek,41-60,P05,Centrum,Lodz,K,150-250
6,8,poniedzialek,41-60,P05,Centrum,Lodz,K,150-250
15,8,poniedzialek,21-40,P04,Centrum,Warszawa,K,50-150
15,8,poniedzialek,81-100,P02,Zachod,Wroclaw,M,50-150
15,8,poniedzialek,81-100,P01,Centrum,Warszawa,M,50-150
12,8,poniedzialek,121-140,P03,Poludnie,Rzeszow,M,50-150
11,8,poniedzialek,121-140,P01,Centrum,Warszawa,M,50-150
2,8,wtorek,141-160,P03,Poludnie,Rzeszow,M,50-150
12,8,wtorek,1-20,P03,Poludnie,Rzeszow,M,50-150
15,8,wtorek,141-160,P03,Poludnie,Rzeszow,M,50-150
11,8,sroda,21-40,P02,Zachod,Wroclaw,M,50-150
3,8,sroda,61-80,P03,Poludnie,Rzeszow,M,50-150
5,8,sroda,121-140,P04,Centrum,Warszawa,K,50-150
12,8,czwartek,121-140,P02,Zachod,Wroclaw,M,50-150
14,8,czwartek,141-160,P01,Centrum,Warszawa,M,150-250
5,8,czwartek,81-100,P05,Centrum,Lodz,K,150-250
9,8,czwartek,61-80,P05,Centrum,Lodz,K,150-250
7,8,piatek,101-120,P02,Zachod,Wroclaw,M,50-150
12,8,piatek,101-120,P05,Centrum,Lodz,K,50-150
9,8,piatek,121-140,P01,Centrum,Warszawa,M,50-150
10,8,sobota,81-100,P05,Centrum,Lodz,K,150-250
7,8,sobota,41-60,P05,Centrum,Lodz,K,150-250
7,8,sobota,41-60,P05,Centrum,Lodz,K,150-250
8,8,sobota,21-40,P03,Poludnie,Rzeszow,M,50-150
3,8,sobota,1-20,P05,Centrum,Lodz,K,50-150
8,8,sobota,121-140,P03,Poludnie,Rzeszow,M,50-150
14,8,sobota,21-40,P03,Poludnie,Rzeszow,M,50-150
1,8,niedziela,41-60,P01,Centrum,Warszawa,M,150-250
7,8,poniedzialek,61-80,P05,Centrum,Lodz,K,50-150
8,8,poniedzialek,21-40,P04,Centrum,Warszawa,K,150-250
13,8,poniedzialek,41-60,P05,Centrum,Lodz,K,150-250
6,8,poniedzialek,141-160,P01,Centrum,Warszawa,M,50-150
10,8,wtorek,41-60,P03,Poludnie,Rzeszow,M,150-250
4,8,sroda,21-40,P02,Zachod,Wroclaw,M,50-150
12,8,sroda,141-160,P01,Centrum,Warszawa,M,50-150
7,8,czwartek,101-120,P01,Centrum,Warszawa,M,150-250
2,8,czwartek,41-60,P01,Centrum,Warszawa,M,150-250
13,8,czwartek,1-20,P02,Zachod,Wroclaw,M,50-150
11,8,piatek,101-120,P04,Centrum,Warszawa,K,50-150
4,8,sobota,1-20,P04,Centrum,Warszawa,K,50-150
4,8,niedziela,41-60,P05,Centrum,Lodz,K,150-250
9,8,niedziela,61-80,P02,Zachod,Wroclaw,M,50-150
6,8,niedziela,141-160,P05,Centrum,Lodz,K,50-150
