@relation klienci6test

@attribute numerklienta {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute miesiac {8,9,10}
@attribute dzientygodnia {poniedzialek,wtorek,sroda,czwartek,piatek,sobota,niedziela}
@attribute przedzialczasrozmowy {121-140,141-160,161-180,1-20,61-80,101-120,81-100,21-40,41-60}
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute region {Poludnie,Zachod,Centrum}
@attribute oddzial {Lodz,Warszawa,Wroclaw,Rzeszow}
@attribute plec {K,M}
@attribute przedzialkwotowy {50-150,150-250,0-50}

@data
2,8,poniedzialek,41-60,P05,Centrum,Lodz,K,50-150
9,8,poniedzialek,41-60,P01,Centrum,Warszawa,M,0-50
13,8,poniedzialek,121-140,P02,Zachod,Wroclaw,M,150-250
6,8,poniedzialek,121-140,P05,Centrum,Lodz,K,150-250
15,8,poniedzialek,81-100,P02,Zachod,Wroclaw,M,50-150
6,8,poniedzialek,1-20,P04,Centrum,Warszawa,K,150-250
12,8,poniedzialek,121-140,P03,Poludnie,Rzeszow,M,150-250
11,8,poniedzialek,121-140,P01,Centrum,Warszawa,M,0-50
12,8,wtorek,1-20,P03,Poludnie,Rzeszow,M,50-150
15,8,wtorek,141-160,P03,Poludnie,Rzeszow,M,150-250
14,8,wtorek,141-160,P01,Centrum,Warszawa,M,150-250
3,8,sroda,61-80,P03,Poludnie,Rzeszow,M,150-250
3,8,sroda,1-20,P01,Centrum,Warszawa,M,150-250
5,8,sroda,121-140,P04,Centrum,Warszawa,K,150-250
8,8,czwartek,81-100,P02,Zachod,Wroclaw,M,50-150
2,8,czwartek,161-180,P02,Zachod,Wroclaw,M,50-150
5,8,czwartek,81-100,P05,Centrum,Lodz,K,0-50
9,8,czwartek,61-80,P05,Centrum,Lodz,K,50-150
11,8,piatek,141-160,P02,Zachod,Wroclaw,M,150-250
9,8,piatek,121-140,P01,Centrum,Warszawa,M,150-250
11,8,piatek,161-180,P05,Centrum,Lodz,K,50-150
3,8,sobota,41-60,P04,Centrum,Warszawa,K,50-150
7,8,sobota,41-60,P05,Centrum,Lodz,K,150-250
14,8,sobota,1-20,P01,Centrum,Warszawa,M,0-50
3,8,sobota,1-20,P05,Centrum,Lodz,K,150-250
3,8,sobota,1-20,P05,Centrum,Lodz,K,150-250
4,8,sobota,101-120,P05,Centrum,Lodz,K,150-250
5,8,niedziela,101-120,P01,Centrum,Warszawa,M,150-250
4,8,poniedzialek,161-180,P02,Zachod,Wroclaw,M,50-150
2,8,poniedzialek,1-20,P05,Centrum,Lodz,K,50-150
10,8,poniedzialek,21-40,P03,Poludnie,Rzeszow,M,50-150
13,8,poniedzialek,41-60,P05,Centrum,Lodz,K,150-250
6,8,poniedzialek,141-160,P01,Centrum,Warszawa,M,50-150
7,8,sroda,21-40,P04,Centrum,Warszawa,K,50-150
5,8,sroda,81-100,P04,Centrum,Warszawa,K,150-250
5,8,czwartek,61-80,P03,Poludnie,Rzeszow,M,150-250
10,8,czwartek,161-180,P04,Centrum,Warszawa,K,50-150
2,8,czwartek,41-60,P01,Centrum,Warszawa,M,50-150
6,8,piatek,21-40,P05,Centrum,Lodz,K,150-250
10,8,sobota,21-40,P01,Centrum,Warszawa,M,150-250
11,8,niedziela,141-160,P05,Centrum,Lodz,K,50-150
7,8,niedziela,101-120,P05,Centrum,Lodz,K,50-150
1,8,niedziela,161-180,P02,Zachod,Wroclaw,M,150-250
6,8,niedziela,141-160,P05,Centrum,Lodz,K,150-250
9,8,poniedzialek,141-160,P03,Poludnie,Rzeszow,M,50-150
8,8,poniedzialek,21-40,P02,Zachod,Wroclaw,M,150-250
5,8,wtorek,41-60,P01,Centrum,Warszawa,M,50-150
7,8,wtorek,161-180,P02,Zachod,Wroclaw,M,150-250
6,8,wtorek,141-160,P03,Poludnie,Rzeszow,M,0-50
4,8,wtorek,41-60,P05,Centrum,Lodz,K,50-150
3,8,sroda,21-40,P02,Zachod,Wroclaw,M,50-150
13,8,sroda,41-60,P05,Centrum,Lodz,K,0-50
4,8,czwartek,61-80,P03,Poludnie,Rzeszow,M,50-150
7,8,piatek,141-160,P01,Centrum,Warszawa,M,50-150
6,8,piatek,41-60,P05,Centrum,Lodz,K,0-50
11,8,piatek,41-60,P03,Poludnie,Rzeszow,M,50-150
10,8,piatek,161-180,P05,Centrum,Lodz,K,0-50
5,8,sobota,141-160,P03,Poludnie,Rzeszow,M,50-150
14,8,sobota,41-60,P05,Centrum,Lodz,K,150-250
6,9,niedziela,41-60,P04,Centrum,Warszawa,K,0-50
6,9,niedziela,41-60,P04,Centrum,Warszawa,K,0-50
4,9,poniedzialek,41-60,P01,Centrum,Warszawa,M,50-150
14,9,poniedzialek,21-40,P05,Centrum,Lodz,K,150-250
10,9,wtorek,61-80,P01,Centrum,Warszawa,M,50-150
2,9,sroda,101-120,P01,Centrum,Warszawa,M,50-150
8,9,sroda,101-120,P01,Centrum,Warszawa,M,50-150
15,9,sroda,101-120,P04,Centrum,Warszawa,K,150-250
3,9,czwartek,41-60,P02,Zachod,Wroclaw,M,50-150
10,9,czwartek,161-180,P03,Poludnie,Rzeszow,M,50-150
14,9,czwartek,161-180,P04,Centrum,Warszawa,K,0-50
13,9,piatek,101-120,P01,Centrum,Warszawa,M,50-150
4,9,piatek,41-60,P04,Centrum,Warszawa,K,150-250
15,9,piatek,1-20,P05,Centrum,Lodz,K,0-50
7,9,sobota,41-60,P04,Centrum,Warszawa,K,50-150
11,9,sobota,21-40,P03,Poludnie,Rzeszow,M,150-250
8,9,sobota,121-140,P02,Zachod,Wroclaw,M,150-250
8,9,niedziela,121-140,P04,Centrum,Warszawa,K,50-150
15,9,niedziela,21-40,P04,Centrum,Warszawa,K,50-150
3,9,niedziela,81-100,P02,Zachod,Wroclaw,M,50-150
7,9,poniedzialek,121-140,P03,Poludnie,Rzeszow,M,150-250
5,9,poniedzialek,81-100,P01,Centrum,Warszawa,M,150-250
7,9,poniedzialek,121-140,P05,Centrum,Lodz,K,150-250
15,9,wtorek,141-160,P03,Poludnie,Rzeszow,M,150-250
6,9,poniedzialek,81-100,P03,Poludnie,Rzeszow,M,50-150
11,9,poniedzialek,141-160,P03,Poludnie,Rzeszow,M,50-150
4,9,poniedzialek,61-80,P01,Centrum,Warszawa,M,50-150
7,10,wtorek,101-120,P01,Centrum,Warszawa,M,50-150
1,10,wtorek,161-180,P04,Centrum,Warszawa,K,50-150
9,10,wtorek,21-40,P05,Centrum,Lodz,K,150-250
8,10,wtorek,161-180,P04,Centrum,Warszawa,K,50-150
13,10,wtorek,161-180,P03,Poludnie,Rzeszow,M,50-150
6,10,sroda,1-20,P05,Centrum,Lodz,K,50-150
3,10,sroda,61-80,P04,Centrum,Warszawa,K,50-150
5,10,sroda,1-20,P04,Centrum,Warszawa,K,150-250
1,10,sroda,81-100,P04,Centrum,Warszawa,K,50-150
10,10,czwartek,121-140,P05,Centrum,Lodz,K,150-250
10,10,czwartek,121-140,P05,Centrum,Lodz,K,150-250
6,10,czwartek,161-180,P02,Zachod,Wroclaw,M,50-150
2,10,czwartek,61-80,P02,Zachod,Wroclaw,M,0-50
13,10,czwartek,1-20,P02,Zachod,Wroclaw,M,50-150
6,10,czwartek,81-100,P04,Centrum,Warszawa,K,150-250
11,10,piatek,41-60,P03,Poludnie,Rzeszow,M,0-50
15,10,piatek,41-60,P04,Centrum,Warszawa,K,50-150
8,10,sobota,61-80,P01,Centrum,Warszawa,M,150-250
5,10,sobota,101-120,P05,Centrum,Lodz,K,50-150
3,10,sobota,141-160,P01,Centrum,Warszawa,M,150-250
10,10,sobota,21-40,P01,Centrum,Warszawa,M,0-50
10,10,sobota,81-100,P01,Centrum,Warszawa,M,0-50
10,10,sobota,81-100,P01,Centrum,Warszawa,M,0-50
7,10,sobota,141-160,P01,Centrum,Warszawa,M,50-150
7,10,niedziela,21-40,P02,Zachod,Wroclaw,M,50-150
4,10,niedziela,61-80,P03,Poludnie,Rzeszow,M,50-150
2,10,niedziela,101-120,P01,Centrum,Warszawa,M,50-150
13,10,niedziela,101-120,P05,Centrum,Lodz,K,50-150
7,10,poniedzialek,61-80,P04,Centrum,Warszawa,K,150-250
8,10,poniedzialek,141-160,P01,Centrum,Warszawa,M,50-150
11,10,poniedzialek,101-120,P04,Centrum,Warszawa,K,50-150
14,10,poniedzialek,21-40,P02,Zachod,Wroclaw,M,50-150
3,10,wtorek,61-80,P02,Zachod,Wroclaw,M,150-250
13,10,wtorek,1-20,P05,Centrum,Lodz,K,150-250
1,10,wtorek,61-80,P05,Centrum,Lodz,K,150-250
4,10,wtorek,121-140,P03,Poludnie,Rzeszow,M,50-150
4,10,sroda,1-20,P05,Centrum,Lodz,K,150-250
11,10,sroda,41-60,P04,Centrum,Warszawa,K,150-250
9,10,sroda,81-100,P02,Zachod,Wroclaw,M,150-250
11,10,sroda,121-140,P02,Zachod,Wroclaw,M,50-150
11,10,sroda,121-140,P03,Poludnie,Rzeszow,M,50-150
13,10,sroda,161-180,P02,Zachod,Wroclaw,M,50-150
