@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9-weka.filters.unsupervised.attribute.Copy-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceDzienTygodnia-R12-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-FEEE-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-F\"EEE\"-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.Reorder-R1-9,12,10-11-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R8'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute 'przedzial_czas rozmowy' {'\'(-inf-30.666667]\'','\'(30.666667-60.333333]\'','\'(60.333333-90]\'','\'(90-119.666667]\'','\'(119.666667-149.333333]\'','\'(149.333333-inf)\''}
@attribute DzienTygodnia {'\"czw.\"','\"pt.\"','\"sob.\"','\"niedz.\"','\"pon.\"','\"wt.\"','\"?r.\"'}
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
6,P03,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\"czw.\"','\'(54.166667-88.333333]\''
12,P03,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\"pon.\"','\'(122.5-156.666667]\''
12,P02,Wroc³aw,Zachód,10,'\'(119.666667-149.333333]\'','\"pt.\"','\'(156.666667-190.833333]\''
9,P05,£ódŸ,Centrum,10,'\'(149.333333-inf)\'','\"niedz.\"','\'(88.333333-122.5]\''
3,P01,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\"?r.\"','\'(190.833333-inf)\''
7,P04,Warszawa,Centrum,9,'\'(60.333333-90]\'','\"sob.\"','\'(122.5-156.666667]\''
7,P02,Wroc³aw,Zachód,10,'\'(90-119.666667]\'','\"sob.\"','\'(156.666667-190.833333]\''
11,P04,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\"pt.\"','\'(156.666667-190.833333]\''
9,P05,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\"pon.\"','\'(54.166667-88.333333]\''
2,P01,Warszawa,Centrum,8,'\'(90-119.666667]\'','\"?r.\"','\'(190.833333-inf)\''
5,P05,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\"?r.\"','\'(156.666667-190.833333]\''
5,P02,Wroc³aw,Zachód,8,'\'(-inf-30.666667]\'','\"czw.\"','\'(54.166667-88.333333]\''
11,P01,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\"niedz.\"','\'(-inf-54.166667]\''
11,P04,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\"niedz.\"','\'(122.5-156.666667]\''
11,P03,Rzeszów,Po³udnie,9,'\'(90-119.666667]\'','\"pt.\"','\'(88.333333-122.5]\''
10,P03,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\"czw.\"','\'(122.5-156.666667]\''
9,P02,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\"pon.\"','\'(190.833333-inf)\''
1,P05,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\"pt.\"','\'(-inf-54.166667]\''
8,P04,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\"sob.\"','\'(122.5-156.666667]\''
9,P05,£ódŸ,Centrum,9,'\'(149.333333-inf)\'','\"pt.\"','\'(122.5-156.666667]\''
