Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureTreeSize,measureNumLeaves,measureOutOfBagError,measureAttributesUsed,measureNumIterations
klienci6,1,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,49.0,51.0,0.0,49.0,51.0,0.0,0.05204460966542745,0.39840772221203125,0.44674547809433657,98.4894254154251,99.42938258942415,143.59181500889184,142.85443034851883,0.7373846603730101,1.4359181500889184,1.4285443034851883,0.0073738466037301005,4.972407099776648,0.049724070997766476,3.462876417760117,0.8333333333333334,40.0,0.8076923076923077,42.0,0.19230769230769232,10.0,0.16666666666666666,8.0,0.4878048780487805,0.8333333333333334,0.6153846153846153,0.03334375488535702,0.5192307692307693,0.48936923357997625,0.49,0.4428535980148884,0.5571464019851117,0.51,NaN,0.49,NaN,NaN,0.538431819493335,0.43621203872100006,NaN,0.49,0.069,0.0,0.078125,0.0,78.125,0.0,9251.0,93853.0,13053.0,99.0,97.33333333333336,?,6.0,?,?,?,?,?
klienci6,1,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,52.0,48.0,0.0,52.0,48.0,0.0,0.102803738317757,0.3989763245140683,0.448654316898915,98.62998823811986,99.85422105586274,143.59181500889184,143.72664085096736,-0.1348258420755144,1.4359181500889184,1.4372664085096736,-0.001348258420755144,4.3295982387096466,0.04329598238709646,3.015212418926203,0.9166666666666666,44.0,0.7884615384615384,41.0,0.21153846153846154,11.0,0.08333333333333333,4.0,0.5176470588235295,0.9166666666666666,0.6616541353383459,0.17937941173234997,0.5590945512820513,0.514484293717487,0.52,0.4213647642679901,0.5786352357320099,0.48,NaN,0.52,NaN,NaN,0.5403102458306885,0.41881647359292395,NaN,0.52,0.031,0.0,0.03125,0.0,31.25,0.0,8731.0,93853.0,13053.0,100.0,100.0,?,5.0,?,?,?,?,?
klienci6,1,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,43.0,57.0,0.0,43.0,57.0,0.0,-0.05751391465677186,0.40744504220188366,0.4620725245572924,100.72351979530814,102.84062868246085,143.59181500889184,148.77392871846027,-5.182113709568426,1.4359181500889184,1.4877392871846027,-0.05182113709568426,1.2968867539437952,0.012968867539437951,0.9031759601781524,0.7708333333333334,37.0,0.8461538461538461,44.0,0.15384615384615385,8.0,0.22916666666666666,11.0,0.4567901234567901,0.7708333333333334,0.5736434108527132,-0.09592156345394533,0.46073717948717946,0.45985031227115714,0.43,0.48583126550868483,0.5141687344913152,0.57,NaN,0.43,NaN,NaN,0.48156644930463377,0.3875967058955535,NaN,0.43,0.038,0.0,0.03125,0.0,31.25,0.0,11393.0,93853.0,13053.0,100.0,99.0,?,9.0,?,?,?,?,?
klienci6,1,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,45.0,55.0,0.0,45.0,55.0,0.0,-0.022304832713754667,0.407473122641715,0.4573299737559153,100.73046149405093,101.78510843390373,143.59181500889184,147.53637608677326,-3.944561077881417,1.4359181500889184,1.4753637608677326,-0.03944561077881417,0.5706497184201591,0.005706497184201591,0.3974110351518448,0.8125,39.0,0.8269230769230769,43.0,0.17307692307692307,9.0,0.1875,9.0,0.47560975609756095,0.8125,0.6,-0.018755862123013323,0.4879807692307692,0.4762733523611832,0.45,0.47047146401985107,0.5295285359801488,0.55,NaN,0.45,NaN,NaN,0.4821227422240175,0.3877203783329627,NaN,0.45,0.047,0.0,0.046875,0.0,46.875,0.0,8098.0,93853.0,13053.0,100.0,100.0,?,4.0,?,?,?,?,?
klienci6,1,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,46.0,54.0,0.0,46.0,54.0,0.0,-0.0188679245283018,0.40555569710634826,0.45400693618718246,100.25645928795255,101.04552048062443,143.59181500889184,146.34948838943833,-2.7576733805464926,1.4359181500889184,1.4634948838943833,-0.027576733805464927,1.3526431459765202,0.013526431459765202,0.942005744472802,0.8958333333333334,43.0,0.9038461538461539,47.0,0.09615384615384616,5.0,0.10416666666666667,5.0,0.4777777777777778,0.8958333333333334,0.6231884057971016,-0.013344012817090595,0.49499198717948717,0.47783579285580824,0.46,0.47674937965260544,0.5232506203473946,0.54,NaN,0.46,NaN,NaN,0.4880781493450285,0.40118946339907074,NaN,0.46,0.038,0.0,0.046875,0.0,46.875,0.0,8877.0,93853.0,13053.0,100.0,99.66666666666669,?,5.0,?,?,?,?,?
klienci6,1,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,41.0,59.0,0.0,41.0,59.0,0.0,-0.10694183864915584,0.4103281410316204,0.45940579905059464,101.43624379970264,102.24711205237101,143.59181500889184,147.93291566412543,-4.341100655233589,1.4359181500889184,1.4793291566412543,-0.043411006552335894,-0.5417951608684985,-0.005417951608684985,-0.37731618674431283,0.8125,39.0,0.9230769230769231,48.0,0.07692307692307693,4.0,0.1875,9.0,0.4482758620689655,0.8125,0.5777777777777777,-0.16426895300277664,0.44751602564102566,0.4532119325438291,0.41,0.5104962779156328,0.48950372208436727,0.59,NaN,0.41,NaN,NaN,0.4486599053609557,0.3765442673493509,NaN,0.41,0.015,0.0,0.015625,0.0,15.625,0.0,8796.0,93853.0,13053.0,100.0,99.0,?,5.0,?,?,?,?,?
klienci6,1,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,46.0,54.0,0.0,46.0,54.0,0.0,-0.008215085884988722,0.4052758380234706,0.4530948834663071,100.04850233338048,100.68540302431923,143.9116468080738,145.1967735073324,-1.2851266992585977,1.439116468080738,1.451967735073324,-0.012851266992585977,1.2882376655501506,0.012882376655501506,0.8951587269848943,0.9148936170212766,43.0,0.9433962264150944,50.0,0.05660377358490566,3.0,0.0851063829787234,4.0,0.46236559139784944,0.9148936170212766,0.6142857142857143,-0.05575463675015211,0.48615014050582095,0.46296213681079845,0.46,0.46896999690689767,0.5310300030931024,0.54,NaN,0.46,NaN,NaN,0.5015652896366682,0.3933531874039939,NaN,0.46,0.032,0.0,0.03125,0.0,31.25,0.0,8308.0,93853.0,13053.0,100.0,100.0,?,4.0,?,?,?,?,?
klienci6,1,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,45.0,55.0,0.0,45.0,55.0,0.0,-0.0054844606946983605,0.41180201654885223,0.4671675890235337,101.65958872483442,103.81259797260935,143.9116468080738,2293.096621862615,-2149.184975054541,1.439116468080738,22.93096621862615,-21.491849750545413,-0.46945655141598236,-0.004694565514159824,-0.3262116457065271,0.851063829787234,40.0,0.8490566037735849,45.0,0.1509433962264151,8.0,0.14893617021276595,7.0,0.47058823529411764,0.851063829787234,0.6060606060606061,0.002805614828042144,0.4993978321959053,0.4700460957536226,0.45,0.45345995871067984,0.5465400412893202,0.55,0.3711764705882353,0.45,0.35984848484848486,-0.00841513649895864,0.4928650939799596,0.3891521629476932,0.2661227661227661,0.45,0.031,0.0,0.03125,0.0,31.25,0.0,10125.0,93853.0,13053.0,98.0,98.33333333333331,?,7.0,?,?,?,?,?
klienci6,1,9,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,46.0,54.0,0.0,46.0,54.0,0.0,0.00990099009900993,0.4074416225749558,0.45886498109285084,100.2324151430764,101.5686411824091,145.33595685409097,149.86031231689026,-4.524355462799292,1.4533595685409098,1.4986031231689025,-0.04524355462799292,1.153638534293874,0.01153638534293874,0.7937736533100762,0.8936170212765957,42.0,0.8679245283018868,46.0,0.1320754716981132,7.0,0.10638297872340426,5.0,0.4772727272727273,0.8936170212765957,0.6222222222222222,0.03946036982018791,0.5112404656764352,0.47671332472709593,0.46,0.44822813361497976,0.5517718663850202,0.54,0.37631818181818183,0.46,0.35577777777777775,0.014763782350367008,0.5010259031183989,0.3962784901878198,0.26296296296296295,0.46,0.038,0.0,0.03125,0.0,31.25,0.0,10078.0,93853.0,13053.0,100.0,99.66666666666669,?,7.0,?,?,?,?,?
klienci6,1,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,46.0,54.0,0.0,46.0,54.0,0.0,-0.010289990645463059,0.4063797937222595,0.45471520232055024,99.97120061692726,100.65009780150791,145.33595685409097,146.9371847150648,-1.601227860973836,1.4533595685409098,1.469371847150648,-0.01601227860973836,0.9911271631812633,0.009911271631812633,0.6819559210500802,0.9574468085106383,45.0,0.9433962264150944,50.0,0.05660377358490566,3.0,0.0425531914893617,2.0,0.47368421052631576,0.9574468085106383,0.6338028169014084,0.03217617207104263,0.5074267362505018,0.4737294558123225,0.46,0.46791235544735243,0.5320876445526476,0.54,NaN,0.46,NaN,NaN,0.4936812681250224,0.38763668261563,NaN,0.46,0.0,0.0,0.0,0.0,0.0,0.0,8435.0,93853.0,13053.0,100.0,100.0,?,4.0,?,?,?,?,?
