"campaign";"contact";"default";"education";"job";"marital";"month";"pdays";"poutcome";"previous";"Rok";"przedzial_czas rozmowy";"przedzial_wiek";"przedzial_emp.var.rate";"przedzial_cons.price.idx";"przedzial_cons.conf.idx";"przedzial_euribor3m";"przedzial_nr.employed";"y"
4.0;"cellular";"no";"high.school";"services";"married";"apr";999.0;"nonexistent";0.0;"2009";"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
1.0;"cellular";"no";"university.degree";"technician";"single";"jun";999.0;"nonexistent";0.0;"2009";"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";;"'(5029.725-5095.85]'";"no"
1.0;"telephone";"no";"basic.6y";"blue-collar";"married";"jun";999.0;"nonexistent";0.0;"2008";"0-1229.5";"'(30.5-44]'";"'(21959.5-inf)'";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
1.0;"cellular";"no";"university.degree";"technician";"married";"dec";999.0;"nonexistent";0.0;"2009";"0-1229.5";"'(30.5-44]'";"'(-inf-21959.5]'";"'(92.628667-93.056333]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
2.0;"telephone";"unknown";"basic.9y";"services";"married";"may";999.0;"nonexistent";0.0;"2008";"0-1229.5";"'(30.5-44]'";"'(21959.5-inf)'";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
1.0;"cellular";"no";"university.degree";"admin.";"single";"mar";999.0;"failure";2.0;"2010";"0-1229.5";"0-30.5";;"'(93.056333-93.484]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"no"
1.0;"cellular";"no";"basic.4y";"retired";"married";"oct";999.0;"nonexistent";0.0;"2009";"0-1229.5";"'(57.5-71]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
2.0;"telephone";"no";"basic.6y";"unemployed";"single";"jun";999.0;"nonexistent";0.0;"2008";"0-1229.5";"'(30.5-44]'";"'(21959.5-inf)'";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
1.0;"cellular";"no";"professional.course";"technician";"married";"nov";999.0;"failure";1.0;"2008";"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
2.0;"cellular";"no";"university.degree";"management";"divorced";"may";999.0;"nonexistent";0.0;"2009";"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
3.0;"cellular";"no";"basic.4y";"blue-collar";"divorced";"jul";999.0;"nonexistent";0.0;"2008";"0-1229.5";"'(30.5-44]'";"'(21959.5-inf)'";"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
