"iteration";"SVM.kernel_gamma";"SVM.C";"SVM.kernel_type";"accuracy"
34.0;0.01;0.9999999999999998;"radial";0.9461538461538461
1.0;0.01;0.001;"radial";0.7512820512820513
35.0;0.018616455666360693;0.9999999999999998;"radial";0.9461538461538461
17.0;0.223606797749979;0.010000000000000002;"radial";0.7512820512820513
2.0;0.018616455666360693;0.001;"radial";0.7512820512820513
36.0;0.034657242157757326;0.9999999999999998;"radial";0.9512820512820512
3.0;0.034657242157757326;0.001;"radial";0.7512820512820513
4.0;0.0645195012148216;0.001;"radial";0.7512820512820513
37.0;0.0645195012148216;0.9999999999999998;"radial";0.9512820512820512
5.0;0.12011244339814313;0.001;"radial";0.7512820512820513
18.0;0.4162766037009365;0.010000000000000002;"radial";0.7512820512820513
6.0;0.223606797749979;0.001;"radial";0.7512820512820513
7.0;0.4162766037009365;0.001;"radial";0.7512820512820513
38.0;0.12011244339814313;0.9999999999999998;"radial";0.9153846153846155
83.0;0.223606797749979;0.010000000000000002;"anova";0.9384615384615385
8.0;0.7749594937741684;0.001;"radial";0.7512820512820513
67.0;0.01;0.001;"anova";0.7512820512820513
19.0;0.7749594937741684;0.010000000000000002;"radial";0.7512820512820513
100.0;0.01;0.9999999999999998;"anova";0.9282051282051282
9.0;1.4426999059072139;0.001;"radial";0.7512820512820513
75.0;1.4426999059072139;0.001;"anova";0.9512820512820515
10.0;2.685795883818439;0.001;"radial";0.7512820512820513
11.0;5.0;0.001;"radial";0.7512820512820513
39.0;0.223606797749979;0.9999999999999998;"radial";0.8051282051282052
20.0;1.4426999059072139;0.010000000000000002;"radial";0.7512820512820513
12.0;0.01;0.010000000000000002;"radial";0.7512820512820513
13.0;0.018616455666360693;0.010000000000000002;"radial";0.7512820512820513
14.0;0.034657242157757326;0.010000000000000002;"radial";0.7512820512820513
40.0;0.4162766037009365;0.9999999999999998;"radial";0.7512820512820513
21.0;2.685795883818439;0.010000000000000002;"radial";0.7512820512820513
15.0;0.0645195012148216;0.010000000000000002;"radial";0.7512820512820513
68.0;0.018616455666360693;0.001;"anova";0.7717948717948717
16.0;0.12011244339814313;0.010000000000000002;"radial";0.7512820512820513
84.0;0.4162766037009365;0.010000000000000002;"anova";0.9589743589743591
41.0;0.7749594937741684;0.9999999999999998;"radial";0.7512820512820513
22.0;5.0;0.010000000000000002;"radial";0.7512820512820513
23.0;0.01;0.10000000000000003;"radial";0.7897435897435897
76.0;2.685795883818439;0.001;"anova";0.9512820512820512
24.0;0.018616455666360693;0.10000000000000003;"radial";0.8512820512820513
25.0;0.034657242157757326;0.10000000000000003;"radial";0.8615384615384615
42.0;1.4426999059072139;0.9999999999999998;"radial";0.7512820512820513
101.0;0.018616455666360693;0.9999999999999998;"anova";0.9358974358974359
26.0;0.0645195012148216;0.10000000000000003;"radial";0.7743589743589744
71.0;0.12011244339814313;0.001;"anova";0.9307692307692308
27.0;0.12011244339814313;0.10000000000000003;"radial";0.7512820512820513
69.0;0.034657242157757326;0.001;"anova";0.8641025641025643
43.0;2.685795883818439;0.9999999999999998;"radial";0.7512820512820513
28.0;0.223606797749979;0.10000000000000003;"radial";0.7512820512820513
44.0;5.0;0.9999999999999998;"radial";0.7512820512820513
102.0;0.034657242157757326;0.9999999999999998;"anova";0.941025641025641
