"iteration";"SVM.kernel_gamma";"SVM.C";"SVM.kernel_type";"accuracy"
9.0;1.4426999059072139;0.001;"radial";0.39599999999999996
5.0;0.12011244339814313;0.001;"radial";0.42700000000000005
1.0;0.01;0.001;"radial";0.43500000000000005
3.0;0.034657242157757326;0.001;"radial";0.44000000000000006
17.0;0.223606797749979;0.010000000000000002;"radial";0.42300000000000004
10.0;2.685795883818439;0.001;"radial";0.40599999999999997
6.0;0.223606797749979;0.001;"radial";0.43
2.0;0.018616455666360693;0.001;"radial";0.44300000000000006
4.0;0.0645195012148216;0.001;"radial";0.45000000000000007
18.0;0.4162766037009365;0.010000000000000002;"radial";0.41600000000000004
11.0;5.0;0.001;"radial";0.421
7.0;0.4162766037009365;0.001;"radial";0.396
8.0;0.7749594937741684;0.001;"radial";0.404
12.0;0.01;0.010000000000000002;"radial";0.471
19.0;0.7749594937741684;0.010000000000000002;"radial";0.42000000000000004
13.0;0.018616455666360693;0.010000000000000002;"radial";0.48200000000000004
20.0;1.4426999059072139;0.010000000000000002;"radial";0.4290000000000001
34.0;0.01;0.9999999999999998;"radial";0.4640000000000001
14.0;0.034657242157757326;0.010000000000000002;"radial";0.475
67.0;0.01;0.001;"anova";0.422
21.0;2.685795883818439;0.010000000000000002;"radial";0.43500000000000005
15.0;0.0645195012148216;0.010000000000000002;"radial";0.458
16.0;0.12011244339814313;0.010000000000000002;"radial";0.449
22.0;5.0;0.010000000000000002;"radial";0.45099999999999996
23.0;0.01;0.10000000000000003;"radial";0.475
24.0;0.018616455666360693;0.10000000000000003;"radial";0.471
25.0;0.034657242157757326;0.10000000000000003;"radial";0.477
35.0;0.018616455666360693;0.9999999999999998;"radial";0.4739999999999999
68.0;0.018616455666360693;0.001;"anova";0.403
26.0;0.0645195012148216;0.10000000000000003;"radial";0.46399999999999997
27.0;0.12011244339814313;0.10000000000000003;"radial";0.45200000000000007
28.0;0.223606797749979;0.10000000000000003;"radial";0.429
29.0;0.4162766037009365;0.10000000000000003;"radial";0.4170000000000001
30.0;0.7749594937741684;0.10000000000000003;"radial";0.429
31.0;1.4426999059072139;0.10000000000000003;"radial";0.43499999999999994
32.0;2.685795883818439;0.10000000000000003;"radial";0.43500000000000005
36.0;0.034657242157757326;0.9999999999999998;"radial";0.462
69.0;0.034657242157757326;0.001;"anova";0.4539999999999999
33.0;5.0;0.10000000000000003;"radial";0.454
83.0;0.223606797749979;0.010000000000000002;"anova";0.42300000000000004
75.0;1.4426999059072139;0.001;"anova";0.461
37.0;0.0645195012148216;0.9999999999999998;"radial";0.45
100.0;0.01;0.9999999999999998;"anova";0.43100000000000005
38.0;0.12011244339814313;0.9999999999999998;"radial";0.41999999999999993
91.0;0.034657242157757326;0.10000000000000003;"anova";0.385
39.0;0.223606797749979;0.9999999999999998;"radial";0.418
40.0;0.4162766037009365;0.9999999999999998;"radial";0.397
70.0;0.0645195012148216;0.001;"anova";0.45199999999999996
41.0;0.7749594937741684;0.9999999999999998;"radial";0.40499999999999997
50.0;0.223606797749979;10.000000000000005;"radial";0.4050000000000001
42.0;1.4426999059072139;0.9999999999999998;"radial";0.42800000000000005
51.0;0.4162766037009365;10.000000000000005;"radial";0.39300000000000007
