"kategorie nieliczbowe";"campaign";"contact";"default";"education";"job";"marital";"month";"pdays";"poutcome";"previous";"Rok";"przedzial_czas rozmowy";"przedzial_wiek";"przedzial_emp.var.rate";"przedzial_cons.price.idx";"przedzial_cons.conf.idx";"przedzial_euribor3m";"przedzial_nr.employed";"y"
"technician";1.0;"telephone";"unknown";"professional.course";"technician";"single";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"blue-collar";1.0;"telephone";"unknown";"basic.4y";"blue-collar";"divorced";"may";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"entrepreneur";1.0;"telephone";"unknown";"university.degree";"entrepreneur";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"technician";1.0;"telephone";"no";"basic.9y";"technician";"married";"may";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"services";1.0;"telephone";"unknown";"high.school";"services";"single";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"technician";1.0;"telephone";"unknown";"professional.course";"technician";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"telephone";"unknown";"basic.9y";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"telephone";"unknown";"basic.4y";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"management";2.0;"telephone";"no";"basic.9y";"management";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"blue-collar";2.0;"telephone";"no";"basic.9y";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
