"word";"in documents";"total";"in class (unknown)";"in class (food/beverage/hospitality)"
"abbotsford";3;3;0.0;0.0
"abil";75;145;0.0;0.0
"abl";83;113;0.0;0.0
"absolut";4;4;0.0;0.0
"abstract";7;12;0.0;0.0
"academ";3;3;0.0;0.0
"accept";18;25;0.0;0.0
"access";13;17;0.0;0.0
"accessori";6;8;0.0;0.0
"accommod";4;5;0.0;0.0
"accompani";3;3;0.0;0.0
"accord";12;14;0.0;0.0
"account";34;77;0.0;0.0
"accur";12;12;0.0;0.0
"accuraci";10;10;0.0;0.0
"achiev";16;20;0.0;0.0
"acr";4;4;0.0;0.0
"act";5;6;0.0;0.0
"action";9;10;0.0;0.0
"activ";32;39;0.0;0.0
"ad";15;17;0.0;0.0
"adapt";8;8;0.0;0.0
"add";8;10;0.0;0.0
"addit";16;18;0.0;0.0
"address";23;23;0.0;0.0
"adher";3;3;0.0;0.0
"adjust";4;4;0.0;0.0
"admin";7;7;0.0;0.0
"administr";25;43;0.0;0.0
"adob";4;13;0.0;0.0
"adult";7;12;0.0;0.0
"advanc";24;26;0.0;0.0
"advertis";9;16;0.0;0.0
"advisor";3;5;0.0;0.0
"afternoon";7;7;0.0;0.0
"ag";9;15;0.0;0.0
"agenc";9;15;0.0;0.0
"agent";6;8;0.0;0.0
"aggreg";3;3;0.0;0.0
"aggress";4;4;0.0;0.0
"agreement";4;4;0.0;0.0
"aid";21;38;0.0;0.0
"air";5;5;0.0;0.0
"alberta";3;3;0.0;0.0
"allow";14;15;0.0;0.0
"altern";4;4;0.0;0.0
"amaz";5;5;0.0;0.0
"ambassador";3;3;0.0;0.0
"ambiti";5;5;0.0;0.0
"amen";4;7;0.0;0.0
"america";4;4;0.0;0.0
"amix";3;20;0.0;0.0
"analysi";11;18;0.0;0.0
"analyst";5;11;0.0;0.0
"analyt";6;9;0.0;0.0
"analyz";7;11;0.0;0.0
"anim";5;16;0.0;0.0
"annual";6;8;0.0;0.0
"answer";18;19;0.0;0.0
"anticip";6;6;0.0;0.0
"ap";3;3;0.0;0.0
"appear";4;4;0.0;0.0
"appli";108;128;0.0;0.0
"applianc";3;3;0.0;0.0
"applic";105;171;0.0;0.0
"appoint";16;19;0.0;0.0
"appreci";4;4;0.0;0.0
"apprentic";4;4;0.0;0.0
"approach";8;8;0.0;0.0
"appropri";9;14;0.0;0.0
"approv";3;4;0.0;0.0
"approx";5;5;0.0;0.0
"approxim";7;7;0.0;0.0
"aptitud";4;5;0.0;0.0
"architectur";4;4;0.0;0.0
"area";47;58;0.0;0.0
"arena";3;3;0.0;0.0
"arrang";6;7;0.0;0.0
"art";8;8;0.0;0.0
"articl";3;3;0.0;0.0
"artist";5;5;0.0;0.0
"asap";9;10;0.0;0.0
"ask";16;17;0.0;0.0
"asp";4;4;0.0;0.0
"aspect";8;8;0.0;0.0
"assess";9;10;0.0;0.0
"asset";89;112;0.0;0.0
"assign";17;19;0.0;0.0
"assist";63;89;0.0;0.0
"associ";16;23;0.0;0.0
"assur";5;6;0.0;0.0
"athlet";3;4;0.0;0.0
"atmospher";15;15;0.0;0.0
"attach";10;12;0.0;0.0
"attend";12;12;0.0;0.0
"attent";26;26;0.0;0.0
"attitud";34;35;0.0;0.0
"attract";7;8;0.0;0.0
"attribut";4;5;0.0;0.0
"audienc";4;4;0.0;0.0
"audit";5;17;0.0;0.0
"augment";3;3;0.0;0.0
"author";5;6;0.0;0.0
"autism";4;6;0.0;0.0
"auto";4;4;0.0;0.0
"autom";5;10;0.0;0.0
"automot";3;4;0.0;0.0
"avail";66;72;0.0;0.0
"awar";4;4;0.0;0.0
"award";7;8;0.0;0.0
"b";15;20;0.0;0.0
"bachelor";8;8;0.0;0.0
