"word";"in documents";"total";"in class (unknown)";"in class (food/beverage/hospitality)"
"abbotsford";3;3;0.0;0.0
"abil";75;145;0.0;0.0
"abil_commun";5;5;0.0;0.0
"abil_commun_effect";4;4;0.0;0.0
"abil_deal";3;3;0.0;0.0
"abil_handl";4;4;0.0;0.0
"abil_lead";4;4;0.0;0.0
"abil_lead_inspir";3;3;0.0;0.0
"abil_lead_inspir_team";3;3;0.0;0.0
"abil_multi";9;9;0.0;0.0
"abil_multi_task";9;9;0.0;0.0
"abil_oper";4;4;0.0;0.0
"abil_perform";4;4;0.0;0.0
"abil_perform_duti";3;3;0.0;0.0
"abil_read";3;3;0.0;0.0
"abil_set";4;4;0.0;0.0
"abil_set_achiev";3;3;0.0;0.0
"abil_set_achiev_sale";3;3;0.0;0.0
"abil_travel";3;3;0.0;0.0
"abil_work";17;23;0.0;0.0
"abil_work_fast";3;3;0.0;0.0
"abil_work_fast_pace";3;3;0.0;0.0
"abil_work_independ";8;8;0.0;0.0
"abil_work_team";3;3;0.0;0.0
"abl";83;113;0.0;0.0
"abl_bring";3;3;0.0;0.0
"abl_drive";3;3;0.0;0.0
"abl_follow";3;3;0.0;0.0
"abl_follow_direct";3;3;0.0;0.0
"abl_handl";4;4;0.0;0.0
"abl_learn";4;4;0.0;0.0
"abl_lift";3;3;0.0;0.0
"abl_make";3;3;0.0;0.0
"abl_meet";3;3;0.0;0.0
"abl_pass";4;4;0.0;0.0
"abl_us";7;7;0.0;0.0
"abl_work";26;28;0.0;0.0
"abl_work_fast";3;4;0.0;0.0
"abl_work_fast_pace";3;4;0.0;0.0
"abl_work_flexibl";3;3;0.0;0.0
"abl_work_flexibl_hour";3;3;0.0;0.0
"abl_work_independ";4;4;0.0;0.0
"absolut";4;4;0.0;0.0
"abstract";7;12;0.0;0.0
"academ";3;3;0.0;0.0
"accept";18;25;0.0;0.0
"accept_applic";7;10;0.0;0.0
"accept_applic_http";3;6;0.0;0.0
"accept_applic_http_www";3;6;0.0;0.0
"access";13;17;0.0;0.0
"accessori";6;8;0.0;0.0
"accommod";4;5;0.0;0.0
"accompani";3;3;0.0;0.0
"accompani_transport";3;3;0.0;0.0
"accompani_transport_individu";3;3;0.0;0.0
"accompani_transport_individu_appoint";3;3;0.0;0.0
"accord";12;14;0.0;0.0
"account";34;77;0.0;0.0
"account_financ";4;4;0.0;0.0
"account_financ_inform";3;3;0.0;0.0
"account_financ_inform_technolog";3;3;0.0;0.0
"account_manag";3;6;0.0;0.0
"account_payabl";4;5;0.0;0.0
"account_practic";3;3;0.0;0.0
"accur";12;12;0.0;0.0
"accuraci";10;10;0.0;0.0
"achiev";16;20;0.0;0.0
"achiev_goal";3;3;0.0;0.0
"achiev_sale";6;6;0.0;0.0
"achiev_sale_goal";3;3;0.0;0.0
"achiev_sale_goal_maxim";3;3;0.0;0.0
"acr";4;4;0.0;0.0
"act";5;6;0.0;0.0
"action";9;10;0.0;0.0
"activ";32;39;0.0;0.0
"activ_accompani";3;3;0.0;0.0
"activ_accompani_transport";3;3;0.0;0.0
"activ_accompani_transport_individu";3;3;0.0;0.0
"activ_commun";3;3;0.0;0.0
"activ_commun_prepar";3;3;0.0;0.0
"activ_commun_prepar_meal";3;3;0.0;0.0
"activ_lifestyl";3;3;0.0;0.0
"activ_lifestyl_great";3;3;0.0;0.0
"activ_lifestyl_great_environ";3;3;0.0;0.0
"ad";15;17;0.0;0.0
"adapt";8;8;0.0;0.0
"add";8;10;0.0;0.0
"addit";16;18;0.0;0.0
"addit_inform";3;3;0.0;0.0
"addit_inform_amix";3;3;0.0;0.0
"addit_inform_amix_view";3;3;0.0;0.0
"address";23;23;0.0;0.0
"adher";3;3;0.0;0.0
