Authors;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Cited by;Link;Abstract;Domain
Turel O., Kapoor B.;A business analytics maturity perspective on the gap between business schools and presumed industry needs;2016;Communications of the Association for Information Systems;39;1;;96;109;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978517789&partnerID=40&md5=26884d187d028e832b17faa1a86df88e;Business analytics is a fast-growing job market for business school graduates. Hence, researchers have made many calls to enhance business analytics training in business schools to meet the growing market demand for analyticssavvy employees. A growing set of business analytics courses have begun to address these calls. In this paper, we examine the maturity of business analytics offerings in business schools in the United States by analyzing current business analytics-related course offerings of the top 104 business schools (363 courses) and 20 unranked business schools (51 courses) in the United States. We analyze these data by examining the types of courses offered and rank the schools based on their maturity levels in terms of business analytics offerings. Our findings indicate that, to the extent that these schools reflect what is happening across the nation, business schools still have a long way to go before they reach higher levels of business analytics maturity and that they are not yet in an ideal position to serve the presumed industry needs. We offer actionable recommendations. © 2016 by the Association for Information Systems.;
Jones S., Cournane S., Sheehy N., Hederman L.;A Business Analytics Software Tool for Monitoring and Predicting Radiology Throughput Performance;2016;Journal of Digital Imaging;29;6;;645;653;;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960099171&doi=10.1007%2fs10278-016-9871-3&partnerID=40&md5=8239b00e8979aa730674dcf208b91c2f;Business analytics (BA) is increasingly being utilised by radiology departments to analyse and present data. It encompasses statistical analysis, forecasting and predictive modelling and is used as an umbrella term for decision support and business intelligence systems. The primary aim of this study was to determine whether utilising BA technologies could contribute towards improved decision support and resource management within radiology departments. A set of information technology requirements were identified with key stakeholders, and a prototype BA software tool was designed, developed and implemented. A qualitative evaluation of the tool was carried out through a series of semi-structured interviews with key stakeholders. Feedback was collated, and emergent themes were identified. The results indicated that BA software applications can provide visibility of radiology performance data across all time horizons. The study demonstrated that the tool could potentially assist with improving operational efficiencies and management of radiology resources. © 2016, Society for Imaging Informatics in Medicine.;
Ryan J., Lewis C., Doster B., Daily S.;A business process management approach to perioperative supplies/instrument inventory and workflow;2014;Proceedings of the Annual Hawaii International Conference on System Sciences;;;6758959;2868;2877;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902269158&doi=10.1109%2fHICSS.2014.359&partnerID=40&md5=fdf463a434079e8f3cc791189b4ea08b;This study examines business process management practices applied to monitor, measure, and improve a hospital's perioperative supply workflow and corresponding inventory management. This paper identifies how dynamic technological activities of analysis, evaluation, and synthesis applied to internal and external organizational data can highlight complex relationships within integrated hospital processes to target opportunities for improvement and ultimately yield improved process capabilities. The identification of existing limitations, potential capabilities, and the subsequent contextual understanding are contributing factors that yield measured improvement within a hospital's perioperative process. Based on a 10-year longitudinal study of a large 909 registered-bed teaching hospital, this case study investigates the impact of integrated information systems to identify, qualify, and quantify business analytics used to improve perioperative efficiency and effectiveness across patient quality of care, operational efficiency, and financial cost effectiveness. The theoretical and practical implications and/or limitations of this study's results are also discussed with respect to practitioners and researchers alike. © 2014 IEEE.;
?gerstrand M., Christiansen S., Hanberg A., Rudén C., Andersson L., Andersen S., Appelgren H., Bj?rge C., Clausen I.H., Eide D.M., Hartmann N.B., Hus?y T., Halldórsson H.P., van der Hagen M., Ingre-Khans E., Lillicrap A.D., Beltoft V.M., Mörk A.-K., Murtomaa-Hautala M., Nielsen E., Ólafsdóttir K., Palomäki J., Papponen H., Reiler E.M., Stockmann-Juvala H., Suutari T., Tyle H., Beronius A.;A call for action: Improve reporting of research studies to increase the scientific basis for regulatory decision-making;2018;Journal of Applied Toxicology;38;5;;783;785;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040020579&doi=10.1002%2fjat.3578&partnerID=40&md5=7995b62a731c2e3266de62dd1699ae8f;This is a call for action to scientific journals to introduce reporting requirements for toxicity and ecotoxicity studies. Such reporting requirements will support the use of peer-reviewed research studies in regulatory decision-making. Moreover, this could improve the reliability and reproducibility of published studies in general and make better use of the resources spent in research. © 2018 The Authors. Journal of Applied Toxicology published by John Wiley & Sons Ltd.;
Relich M., Pawlewski P.;A case-based reasoning approach to cost estimation of new product development;2018;Neurocomputing;272;;;40;45;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021283390&doi=10.1016%2fj.neucom.2017.05.092&partnerID=40&md5=7cbf1286d4f370633fcc6bec0ccbed6c;New product development (NPD) is a crucial process in maintaining a company's competitive position and succeeding in dynamic markets. One of contemporary trends in the global economy is mass customisation that bases on modifications of existing products instead of designing everything anew. The advancement of information technology helps today's enterprises in managing business processes and collecting data in enterprise systems that can be a potential source of information. Specifications of previous products deliver information of design, cost and time of past NPD projects that can be the basis for developing new products. A promising methodology for assisting conceptual product design and monitoring a NPD project is case-based reasoning. This paper is concerned with developing a case-based reasoning approach towards using neural networks to estimate the cost of NPD in one-of-a-kind production companies. © 2017 Elsevier B.V.;
Cohen A., Parsons S., Sklar E.I., McBurney P.;A characterization of types of support between structured arguments and their relationship with support in abstract argumentation;2018;International Journal of Approximate Reasoning;94;;;76;104;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041473266&doi=10.1016%2fj.ijar.2017.12.008&partnerID=40&md5=f50174b612adfe364a1d397af87bc117;"Argumentation is an important approach in artificial intelligence and multiagent systems, providing a basis for single agents to make rational decisions, and for groups of agents to reach agreements, as well as a mechanism to underpin a wide range of agent interactions. In such work, a crucial role is played by the notion of attack between arguments, and the notion of attack is well-studied. There is, for example, a range of different approaches to identifying which of a set of arguments should be accepted given the attacks between them. Less well studied is the notion of support between arguments, yet the idea that one argument may support another is very intuitive and seems particularly relevant in the area of decision-making where decision options may have multiple arguments for and against them. In the last decade, the study of support in argumentation has regained attention among researchers, but most approaches address support in the context of abstract argumentation where the elements from which arguments are composed are ignored. In contrast, this paper studies the notion of support between arguments in the context of structured argumentation systems where the elements from which arguments are composed play a crucial role. Different forms of support are presented, each of which takes into account the structure of arguments; and the relationships between these forms of support are studied. Then, the paper investigates whether there is a correspondence between the structured and abstract forms of support, and determines whether the abstract formalisms may be instantiated using concrete forms of support in terms of structured arguments. The conclusion is that support in structured argumentation does not mesh well with support in abstract argumentation, and this suggests that more work is required to develop forms of support in abstract argumentation that model what happens in structured argumentation. © 2018 Elsevier Inc.";
Nguyen T.N., Ricci F.;A chat-based group recommender system for tourism;2018;Information Technology and Tourism;18;43469;;5;28;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045104130&doi=10.1007%2fs40558-017-0099-y&partnerID=40&md5=fbb9263bac80a3ea658ca69e9027441d;Group recommender systems are information filtering and decision support applications that are aimed at aiding a group of users in making decisions when they are considering a set of alternatives. State of the art solutions aggregate users’ preferences acquired before the actual decision making process and suggest items that fit the aggregated model. However, it has been shown that the recommendation needs of groups go beyond the identification of such items, and it is essential to take into account, in the recommendation process, the dynamic of users’ interactions in their real group context. In this paper, we therefore illustrate a novel approach to group recommendation, which is implemented in a mobile system, that monitors and exploits users’ interactions during a group discussion, and offers appropriate recommendations as well as other types of suggestions, to guide and help the group members in settling on an agreement. We have carried out a preliminary user study of the proposed approach to assess and analyze the usability of the system along with the perceived recommendation quality and choice satisfaction. The results of this study are encouraging as they show that the proposed approach attains a high usability score, and has good user-perceived recommendation quality as well as choice satisfaction. © 2017, Springer-Verlag GmbH Germany, part of Springer Nature.;
Mohajeri N., Assouline D., Guiboud B., Bill A., Gudmundsson A., Scartezzini J.-L.;A city-scale roof shape classification using machine learning for solar energy applications;2018;Renewable Energy;121;;;81;93;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040325135&doi=10.1016%2fj.renene.2017.12.096&partnerID=40&md5=f51e5d09bbcb1a8da262c787e7a9b0f1;Solar energy deployment through PV installations in urban areas depends strongly on the shape, size, and orientation of available roofs. Here we use a machine learning approach, Support Vector Machine (SVM) classification, to classify 10,085 building roofs in relation to their received solar energy in the city of Geneva in Switzerland. The SVM correctly identifies six types of roof shapes in 66% of cases, that is, flat & shed, gable, hip, gambrel & mansard, cross/corner gable & hip, and complex roofs. We classify the roofs based on their useful area for PV installations and potential for receiving solar energy. For most roof shapes, the ratio between useful roof area and building footprint area is close to one, suggesting that footprint is a good measure of useful PV roof area. The main exception is the gable where this ratio is 1.18. The flat and shed roofs have the second highest useful roof area for PV (complex roof being the highest) and the highest PV potential (in GWh). By contrast, hip roof has the lowest PV potential. Solar roof-shape classification provides basic information for designing new buildings, retrofitting interventions on the building roofs, and efficient solar integration on the roofs of buildings. © 2017 Elsevier Ltd;
Tsai C.-F., Li M.-L., Lin W.-C.;A class center based approach for missing value imputation;2018;Knowledge-Based Systems;151;;;124;135;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046998800&doi=10.1016%2fj.knosys.2018.03.026&partnerID=40&md5=d8eed12f850680a1b459a33f0662f3c1;Missing value imputation (MVI) is the major solution method for dealing with incomplete dataset problems in which the missing attribute values are replaced from a chosen set of observed data using some statistical methods, such as mean/mode, machine learning, or support vector machine methods. Although machine learning MVI approaches may produce reasonably good imputation results, they usually require larger imputation times than statistical approaches. In this paper, a Class Center based Missing Value Imputation (CCMVI) approach is introduced for producing effective imputation results more efficiently. It is based on measuring the class center of each class and then the distances between it and the other observed data are used to define a threshold for the later imputation. The experimental results based on numerical, categorical, and mixed data types of datasets show that the proposed CCMVI approach outperforms the other MVI approaches for both numerical and mixed datasets. In addition, it requires much less imputation time than the machine learning MVI methods. © 2018 Elsevier B.V.;
Yang C.-Y., Lo Y.-S., Chen R.-J., Liu C.-T.;A clinical decision support engine based on a national medication repository for the detection of potential duplicate medications: Design and evaluation;2018;Journal of Medical Internet Research;20;1; e6;;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041036293&doi=10.2196%2fmedinform.9064&partnerID=40&md5=2f8f878e1caa13fb655f228d77bc8134;Background: A computerized physician order entry (CPOE) system combined with a clinical decision support system can reduce duplication of medications and thus adverse drug reactions. However, without infrastructure that supports patients' integrated medication history across health care facilities nationwide, duplication of medication can still occur. In Taiwan, the National Health Insurance Administration has implemented a national medication repository and Web-based query system known as the PharmaCloud, which allows physicians to access their patients' medication records prescribed by different health care facilities across Taiwan. Objective: This study aimed to develop a scalable, flexible, and thematic design-based clinical decision support (CDS) engine, which integrates a national medication repository to support CPOE systems in the detection of potential duplication of medication across health care facilities, as well as to analyze its impact on clinical encounters. Methods: A CDS engine was developed that can download patients' up-To-date medication history from the PharmaCloud and support a CPOE system in the detection of potential duplicate medications. When prescribing a medication order using the CPOE system, a physician receives an alert if there is a potential duplicate medication. To investigate the impact of the CDS engine on clinical encounters in outpatient services, a clinical encounter log was created to collect information about time, prescribed drugs, and physicians' responses to handling the alerts for each encounter. Results: The CDS engine was installed in a teaching affiliate hospital, and the clinical encounter log collected information for 3 months, during which a total of 178,300 prescriptions were prescribed in the outpatient departments. In all, 43,844/178,300 (24.59%) patients signed the PharmaCloud consent form allowing their physicians to access their medication history in the PharmaCloud. The rate of duplicate medication was 5.83% (1843/31,614) of prescriptions. When prescribing using the CDS engine, the median encounter time was 4.3 (IQR 2.3-7.3) min, longer than that without using the CDS engine (median 3.6, IQR 2.0-6.3 min). From the physicians' responses, we found that 42.06% (1908/4536) of the potential duplicate medications were recognized by the physicians and the medication orders were canceled. Conclusions: The CDS engine could easily extend functions for detection of adverse drug reactions when more and more electronic health record systems are adopted. Moreover, the CDS engine can retrieve more updated and completed medication histories in the PharmaCloud, so it can have better performance for detection of duplicate medications. Although our CDS engine approach could enhance medication safety, it would make for a longer encounter time. This problem can be mitigated by careful evaluation of adopted solutions for implementation of the CDS engine. The successful key component of a CDS engine is the completeness of the patient's medication history, thus further research to assess the factors in increasing the PharmaCloud consent rate is required.;
