"Created-At";"From-User";"From-User-Id";"To-User";"To-User-Id";"Language";"Source";"Text";"Geo-Location-Latitude";"Geo-Location-Longitude";"Retweet-Count";"Id";"ent_iPhone";"ent_https://t.co/NV02jgK2oe";"con_camera";"con_kind";"ent_Apple";"ent_https://t.co/6qWxohGQW4";"con_telephone";"con_company";"con_device";"ent_https://t.co/83E9DJ2hfQ";"con_face";"ent_Snapchat";"ent_https://t.co/qSSzZIXUtU";"ent_Plus";"ent_https://t.co/Uu5K44sS1E";"ent_https://t.co/Xn43vYIia4";"con_painting";"ent_@itechkart";"ent_High";"ent_Glass";"ent_Riley";"ent_@riley_tanaka";"con_ass";"con_donkey";"con_media";"con_landscape";"ent_https://t.co/UtyQmHZt3Q";"ent_YouTube";"ent_@YouTube";"ent_@hezuschica";"ent_https://t.co/SO03wt9N3c";"ent_Lens";"ent_https://t.co/9pTTtxFvVP";"con_film";"ent_@Zhiyuntech";"con_application";"ent_@joshuassalva";"ent_Huawei";"con_job";"ent_Samsung_Galaxy";"ent_https://t.co/Z25YsbkmrV";"con_video";"con_front";"con_android";"ent_https://t.co/ZTMhCK1yci";"con_special";"ent_https://t.co/oaCvlaMPMc";"con_photograph";"ent_@Apple";"con_apple";"con_minor";"con_screen";"con_bug";"ent_@skeletoons_";"ent_https://t.co/iECE8wvC0t";"ent_https://t.co/bkh6AcbfTD";"con_filter";"ent_https://t.co/RauHPWDrbS";"ent_https://t.co/bNR33Q3JtU";"con_man";"ent_https://t.co/LuClzF814F";"ent_@tokepraylove";"ent_@shamanthuh";"con_heat";"ent_iCloud";"con_folder";"ent_@_fifi23_";"ent_Ayo";"ent_https://t.co/gtIpGX5rmV";"ent_@_christinaaaxox";"ent_@SanJoseSharks";"ent_https://t.co/vllkYrZG68";"ent_https://t.co/erdbON5oEB";"ent_https://t.co/1rOkTEIPcy";"ent_https://t.co/i5Xdxd03he";"ent_https://t.co/MAPjPGXpLG";"con_boy";"ent_Alyssa";"ent_https://t.co/S5Y3NwMhZh";"ent_@thabrowndoll";"ent_@lexietaylor98_";"ent_https://t.co/lU6OtXj9FZ";"ent_@Sam_Toocool";"ent_@orlinhdo";"ent_https://t.co/bXwVhtnByI";"ent_@ricardovet83";"ent_@MKBHD";"con_exam";"con_galaxy";"ent_https://t.co/7MXFDikArN";"con_madness";"ent_Emmy";"ent_@emmy_dann";"ent_@officialdaddymo";"con_battery";"ent_https://t.co/zhCo3f1Zdg";"ent_https://t.co/Uhq6TUhArO";"ent_https://t.co/wdpN1XHkGC";"ent_@TACJ";"ent_https://t.co/kAffDuIjOs";"ent_https://t.co/8IfWDdMbpi";"ent_@ShawtyCai";"ent_https://t.co/wUDfvnh2KX";"ent_@marcusssss_97";"ent_https://t.co/pGodLP9PeY";"ent_TrueDepth_Camera_system";"ent_https://t.co/jU1OhlSRyX";"con_feature";"con_report";"con_mistake";"ent_The_Verge";"ent_https://t.co/8lEDCPJkAr";"ent_https://t.co/2CHwUp55a5";"ent_https://t.co/UCR081u5tc";"con_photography";"con_people";"ent_https://t.co/4PUUukPqmh";"ent_Cornwall";"ent_Tim";"ent_@tim_cook";"con_street";"con_road";"con_team";"ent_@ZONEofTECH";"ent_https://t.co/CZCnSICst???";"con_world";"ent_@WiredUK";"con_shore";"ent_https://t.co/YsDIsQ3shj";"ent_https://t.co/qfWiqmk9KN";"ent_@Zollotech";"ent_@iAmPinkie__";"con_friend";"ent_https://t.co/mL8APQ25Tn";"ent_https://t.co/y0IWMEDr0g";"ent_https://t.co/KxEM4PKL5S";"ent_https://t.co/p9PI7OeRhX";"ent_Forbes";"ent_@forbes";"ent_https://t.co/Dn8kCBBM9N";"ent_@louiseannexx";"con_extra";"ent_Google,_Inc.";"con_drawer";"ent_https://t.co/x7UOSc3qBa";"ent_https://t.co/a8zhjHvOOH";"ent_https://t.co/irTaKvzIpn";"ent_https://t.co/Habms5Zurm";"con_plug";"ent_Fiat";"ent_@SWAGG_inIFEct";"ent_AVG_Technologies";"ent_@UrAvgConsumer";"ent_iOS";"ent_@MK";"con_animation";"con_update";"ent_https://t.co/xs1W9b3vRA";"con_book"
"38217,44028";"VAIBHAV";"9,18922E+17";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Lite</a>";;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"38217,43125";"Courtney Gebhart";"1033440912";;"-1";"en";"<a href='http://ask.fm/' rel='nofollow'>Ask.fm</a>";"do u like camera in new iPhone X? is it worth that kind of money? — wouldnt know. dont have an iphone x. https://t.co/NV02jgK2oe";;;0.0;"9,82896E+17";1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"38217,39583";"World Voip Center";"2544077335";;"-1";"en";"<a href='https://ifttt.com' rel='nofollow'>IFTTT</a>";"Essential Phone sequel to have a much better camera, company promises The Essential Phone was a unique device until Apple launched the iPhone X, as many consider the first smartphone to have introduced the notch. Unfortunately, Essential's phone had one … https://t.co/6qWxohGQW4 https://t.co/uOXs6qlTfC";;;0.0;"9,82883E+17";1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"38217,37639";"• Jhay •";"16553230";;"-1";"en";"<a href='https://ifttt.com' rel='nofollow'>IFTTT</a>";"Bellus3D uses the iPhone X's TrueDepth camera to 3D scan your face https://t.co/83E9DJ2hfQ";;;0.0;"9,82876E+17";1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"38217,375";"Ricardo Wagner ©";"58554518";;"-1";"en";"<a href='https://ifttt.com' rel='nofollow'>IFTTT</a>";"Snapchat launches exclusive face filters for iPhone X that take advantage of the TrueDepth camera https://t.co/qSSzZIXUtU https://t.co/yyvQehBquD";;;0.0;"9,82876E+17";1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"38217,37014";"PhotoWorkout";"2154316843";;"-1";"en";"<a href='https://www.socialjukebox.com' rel='nofollow'>The Social Jukebox</a>";"New iPhone X, iPhone 8 and iPhone 8 Plus (Camera Specs Review) https://t.co/Uu5K44sS1E";;;0.0;"9,82874E+17";1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"38217,37014";"Mario";"9,3492E+17";;"-1";"en";"<a href='https://curiouscat.me' rel='nofollow'>Curious Cat</a>";"Do you have the iPhone X? Your pictures are so stunning that camera is gold — Yes I do I’m panning to buy a camera soon tho https://t.co/Xn43vYIia4";;;0.0;"9,82874E+17";1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"38217,34722";"Greenvice";"8,84475E+17";;"-1";"en";"<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>";"RT @itechkart: ELV iPhone X Anti Burst Anti Spy High Quality HD Privacy Tempered Glass For Apple iPhone X/ Apple iPhone 10.";;;;;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"38217,34583";"lani.?";"8,07436E+17";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @riley_tanaka: Yo ass better stop. Look at this mans media, look at his landscape shots. Please tell me any of you takin pics like that…";;;5.0;"9,82865E+17";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"38217,34306";"emily jimenez";"2462581458";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @riley_tanaka: Yo ass better stop. Look at this mans media, look at his landscape shots. Please tell me any of you takin pics like that…";;;5.0;"9,82864E+17";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
